BATS_id,type,cruise,cast,mtime,year,month,day,hour,doy,lat,lon,MLD_dens125,MLD_bvfrq,MLD_densT2,MLD_densT3,MLD_densT1,MLD_dens2,MLD_densGR,MLD_te2,DCM,DCMde_top,Season,Sunrise,Sunset,par0,kpar,z_par_1pcnt,z_par_halfpcnt,z_par_tenthpcnt,fluor_offset
10032004,1,32,4,727332.5,1991,5,14,12,134,31.797,-63.793,42.6967246408819,6.95123691999968,24.8247614293058,40.7110280248976,8.93726121575235,46.6680600802471,2.97913046936865,24.8247614293058,NaN,NaN,NaN,923.672000000015,2259.17200000002,NaN,NaN,NaN,NaN,NaN,NaN
10032005,1,32,5,727332.805555556,1991,5,14,19.3333333333333,134,31.848,-63.623,18.8670139261254,8.93722354724997,10.9232201876801,12.9091975445834,8.93722354724997,32.7679107819073,2.97911791300983,12.9091975445834,NaN,NaN,NaN,922.991999999986,2258.49199999999,NaN,NaN,NaN,NaN,NaN,NaN
10032006,1,32,6,727332.885416667,1991,5,14,21.25,134,31.856,-63.61,29.7892069694972,5.95818848621197,13.9021697961012,19.8599533163244,7.94421274041414,49.646269008392,3.97214494552769,13.9021697961012,NaN,NaN,NaN,922.939999999981,2258.43999999998,NaN,NaN,NaN,NaN,NaN,NaN
10032007,1,32,7,727333.486111111,1991,5,15,11.6666666666667,135,32.148,-63.835,42.6954829358987,6.95103476350036,12.9088765263123,20.8523956034235,8.93700130157358,46.6667028816039,2.97904382998864,12.9088765263123,86.3746663467575,58.5799004775995,2,922.339999999981,2300.83999999998,1708.46221437955,0.0481266929620437,96.3004544736365,110.195750141649,143.937547368364,NaN
10033001,1,33,1,727367.634722222,1991,6,18,15.2333333333333,169,31.756,-64.1,-999,-999,-999,-999,-999,-999,-999,-999,NaN,NaN,NaN,913.899999999994,2318.39999999998,NaN,NaN,NaN,NaN,NaN,NaN
10033002,1,33,2,727368.138888889,1991,6,19,3.33333333333333,170,31.727,-64.073,18.8672024778459,12.9093265556212,14.895304477303,14.895304477303,12.9093265556212,24.8249048894177,4.96522203174812,14.895304477303,112.184626276461,76.451062397617,3,914.292000000014,2318.792,NaN,NaN,NaN,NaN,NaN,NaN
10033003,1,33,3,727368.309027778,1991,6,19,7.41666666666667,170,31.737,-64.077,-999,-999,-999,-999,-999,-999,-999,-999,NaN,NaN,NaN,914.307999999987,2318.80800000002,NaN,NaN,NaN,NaN,NaN,NaN
10033004,1,33,4,727368.618055556,1991,6,19,14.8333333333333,170,31.697,-64.076,12.9093584999163,8.93733497899712,10.9233563813459,10.9233563813459,10.9233563813459,14.8953413359178,4.96523431826512,10.9233563813459,106.22972786855,80.4219651733394,3,914.303999999984,2318.30399999998,1545.82379642721,0.0379759806628929,122.109812771822,139.973438193429,NaN,NaN
10033005,1,33,5,727368.746527778,1991,6,19,17.9166666666667,170,31.695,-64.068,12.9093606289417,8.93733645295276,10.923358182838,10.923358182838,10.923358182838,16.8813076746137,4.96523513713768,10.923358182838,106.229745387887,84.3926157204648,3,914.271999999996,2318.27199999999,798.494645022011,0.0313244635071964,147.912352238744,169.742718450598,221.332538838042,NaN
10033006,1,33,6,727368.88125,1991,6,19,21.15,170,31.677,-64.051,15.888351722404,15.888351722404,15.888351722404,15.888351722404,15.888351722404,17.8743089114988,5.95827654073528,15.888351722404,105.237355240653,75.4586855750464,3,914.204000000018,2318.20400000001,NaN,NaN,NaN,NaN,NaN,NaN
10033007,1,33,7,727369.708333333,1991,6,20,17,171,31.576,-63.984,-999,-999,-999,-999,-999,-999,-999,-999,NaN,NaN,NaN,914.436000000019,2317.93599999998,NaN,NaN,NaN,NaN,NaN,NaN
10033008,1,33,8,727369.827777778,1991,6,20,19.8666666666667,171,31.573,-63.972,-999,-999,-999,-999,-999,-999,-999,-999,NaN,NaN,3,914.388000000017,2317.88799999998,NaN,NaN,NaN,NaN,NaN,NaN
10034001,1,34,1,727394.661805556,1991,7,15,15.8833333333333,196,32.769,-64.157,13.9011121604547,9.92946224763088,9.92946224763088,11.9152968447316,9.92946224763088,15.8869081959921,3.97184275623907,9.92946224763088,99.2729474121264,81.4073689601669,3,922.627999999991,2320.62799999999,960.279952867843,0.0408488547880153,113.167320442549,131.030130494136,170.719694244543,NaN
